,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,valence,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
2254,Tha Se Xanavro Stous Baxedes,Grammata Sto Makrygianni Kai Alla Laika,Alkistis Protopsalti,2007-12-31,217813,29,0.502,0.696,0.647,0.767,0.0,0.0671,-5.745,0.03,109.729,4
2255,Htypo Tin Porta Tou Theou,Grammata Sto Makrygianni Kai Alla Laika,Alkistis Protopsalti,2007-12-31,175133,14,0.632,0.635,0.508,0.798,0.0,0.313,-6.551,0.0287,140.406,4
2256,Eihes Thalasses Sta Matia,Grammata Sto Makrygianni Kai Alla Laika,Alkistis Protopsalti,2007-12-31,192066,4,0.656,0.73,0.577,0.767,3.84e-06,0.156,-7.464,0.0307,136.164,4
2257,Stin Ithaki,Grammata Sto Makrygianni Kai Alla Laika,Alkistis Protopsalti,2007-12-31,221200,10,0.362,0.86,0.362,0.293,0.0,0.0928,-10.275,0.0306,184.123,3
2258,Osoi Gyrisoun Tsakismenoi,Grammata Sto Makrygianni Kai Alla Laika,Alkistis Protopsalti,2007-12-31,132786,6,0.802,0.482,0.561,0.897,0.0,0.0806,-6.439,0.0353,115.575,4
2259,Mporeis An Theleis,Grammata Sto Makrygianni Kai Alla Laika,Alkistis Protopsalti,2007-12-31,154520,5,0.506,0.909,0.433,0.599,0.0,0.105,-8.352,0.0354,116.95,3
2260,Ti Tragoudi Na Sou Grapso,Grammata Sto Makrygianni Kai Alla Laika,Alkistis Protopsalti,2007-12-31,184333,9,0.272,0.822,0.406,0.43,0.0,0.124,-8.551,0.0298,174.788,3
2261,Ta Laika Tragoudia Mou,Grammata Sto Makrygianni Kai Alla Laika,Alkistis Protopsalti,2007-12-31,214840,3,0.435,0.743,0.52,0.529,0.0,0.122,-6.188,0.0327,147.365,4
2262,Deilina Sti Sparti,Grammata Sto Makrygianni Kai Alla Laika,Alkistis Protopsalti,2007-12-31,156560,8,0.305,0.923,0.392,0.635,0.0,0.144,-7.29,0.0298,181.903,3
2263,Se Kapoio Magazi,Grammata Sto Makrygianni Kai Alla Laika,Alkistis Protopsalti,2007-12-31,140160,5,0.7,0.714,0.504,0.746,0.0,0.118,-7.64,0.0361,128.48,3
2264,Aftes Oi Xenes Agkalies,Grammata Sto Makrygianni Kai Alla Laika,Alkistis Protopsalti,2007-12-31,194080,9,0.4,0.591,0.383,0.392,5.8e-06,0.0654,-8.159,0.0264,95.971,4
2265,Mou 'Pes Fevgeis Metanastis,Grammata Sto Makrygianni Kai Alla Laika,Alkistis Protopsalti,2007-12-31,172026,5,0.434,0.669,0.538,0.592,0.0,0.112,-6.922,0.0406,105.732,4
2266,O Erotas,Prosanatolismoi,Ilias Andriopoulos,2007-11-02,157093,3,0.409,0.903,0.296,0.673,0.0,0.082,-10.002,0.0303,103.606,4
2267,Floisvos Fili,Prosanatolismoi,Ilias Andriopoulos,2007-11-02,156840,1,0.174,0.908,0.315,0.146,0.000198,0.0905,-10.779,0.034,82.001,4
2268,Oneira Ki Oneira,Prosanatolismoi,Ilias Andriopoulos,2007-11-02,126653,1,0.259,0.923,0.285,0.321,0.00187,0.114,-11.135,0.0283,94.689,4
2269,Monahiki Mousiki,Prosanatolismoi,Ilias Andriopoulos,2007-11-02,150453,1,0.669,0.974,0.0265,0.366,0.902,0.0829,-17.475,0.105,101.668,3
2270,Ola Ta Kyparissia,Prosanatolismoi,Ilias Andriopoulos,2007-11-02,194400,1,0.419,0.951,0.167,0.243,0.0101,0.103,-13.75,0.0294,97.078,4
2271,Katanyxi Erimiki,Prosanatolismoi,Ilias Andriopoulos,2007-11-02,135120,1,0.48,0.645,0.242,0.279,0.848,0.146,-14.799,0.0492,173.723,4
2272,Tin Afouriti Nychtia,Prosanatolismoi,Ilias Andriopoulos,2007-11-02,129120,1,0.283,0.689,0.24,0.397,0.000844,0.113,-10.916,0.0316,103.284,4
2273,To Stafyli Afto,Prosanatolismoi,Ilias Andriopoulos,2007-11-02,112466,1,0.426,0.583,0.274,0.516,1.15e-06,0.081,-9.616,0.0278,84.273,4
2274,Poulia Sta Hilia Hromata,Prosanatolismoi,Ilias Andriopoulos,2007-11-02,166173,1,0.604,0.731,0.378,0.489,0.000192,0.0751,-9.101,0.029,71.391,4
2275,Marazi Tou Erota,Prosanatolismoi,Ilias Andriopoulos,2007-11-02,102173,1,0.471,0.32,0.311,0.59,0.138,0.0844,-10.959,0.033,107.382,3
2276,Ouranos Katharoaimos,Prosanatolismoi,Ilias Andriopoulos,2007-11-02,106186,1,0.497,0.864,0.205,0.238,1.77e-05,0.0896,-11.768,0.0309,135.487,4
2277,Amerimnos Anemos,Prosanatolismoi,Ilias Andriopoulos,2007-11-02,167826,1,0.436,0.554,0.25,0.41,0.304,0.128,-11.756,0.0413,105.433,3
2278,Ola Ta Synnefa,Prosanatolismoi,Ilias Andriopoulos,2007-11-02,80746,1,0.4,0.985,0.0314,0.28,0.000136,0.0847,-19.739,0.055,60.373,3
2279,Otan Mas Kopsan Ta Ftera,Oi Xenes Portes,Sotiria Bellou,2008-03-24,210666,0,0.3,0.812,0.536,0.499,0.0,0.114,-4.675,0.0359,154.738,4
2280,Ta Teleftaia Simata,Oi Xenes Portes,Sotiria Bellou,2008-03-24,284133,0,0.604,0.79,0.604,0.433,3.33e-05,0.087,-5.146,0.0457,126.206,4
2281,Kaimos Paliou Rebeti,Oi Xenes Portes,Sotiria Bellou,2008-03-24,193066,0,0.469,0.824,0.502,0.666,0.0,0.073,-4.774,0.037,146.493,4
2282,Feggari Makrino,Oi Xenes Portes,Sotiria Bellou,2008-03-24,212240,0,0.432,0.843,0.42,0.113,0.0013,0.25,-5.529,0.0251,94.979,4
2283,Monahike Mou File,Oi Xenes Portes,Sotiria Bellou,2008-03-24,195933,0,0.485,0.912,0.377,0.422,6.34e-05,0.0955,-6.508,0.0288,144.658,4
2284,Tis Xenes Portes Min Htypas,Oi Xenes Portes,Sotiria Bellou,2008-03-24,212013,0,0.306,0.788,0.596,0.19,0.0,0.127,-4.936,0.0318,145.882,4
2285,Ta Magika Pou Sou 'Grapsa Tragoudia,Oi Xenes Portes,Sotiria Bellou,2008-03-24,233600,0,0.648,0.839,0.633,0.535,3.65e-06,0.11,-4.124,0.0441,127.136,4
2286,Epese Vrohi Ki Ageras,Oi Xenes Portes,Sotiria Bellou,2008-03-24,180146,0,0.491,0.804,0.444,0.219,0.000523,0.0905,-7.49,0.0303,77.817,4
2287,Me To Trimeno Sou Palto,Oi Xenes Portes,Sotiria Bellou,2008-03-24,237320,0,0.799,0.822,0.767,0.954,0.000126,0.25,-3.673,0.0402,130.929,4
2288,Tragoudi Tou 1985,Oi Xenes Portes,Sotiria Bellou,2008-03-24,175320,0,0.342,0.903,0.343,0.287,0.0,0.125,-8.159,0.0295,146.142,4
2289,Motivo Paliou Kairou - Instrumental,Oi Xenes Portes,Sotiria Bellou,2008-03-24,127760,0,0.596,0.94,0.343,0.456,0.88,0.146,-7.37,0.0262,95.56,1
2290,Epilogos,Oi Xenes Portes,Sotiria Bellou,2008-03-24,62133,0,0.448,0.973,0.146,0.354,0.0,0.186,-12.499,0.0334,131.862,4
2291,Epitimvio,Kiklos Seferi,Various Artists,1976-01-01,146373,0,0.67,0.852,0.492,0.592,2.42e-06,0.166,-9.316,0.0343,119.058,4
2292,Emis Pou Xekinisame,Kiklos Seferi,Various Artists,1976-01-01,175333,0,0.361,0.694,0.299,0.547,0.0,0.071,-10.727,0.0374,84.804,4
